Date,Region,Product,Quantity,UnitPrice,StoreLocation,CustomerType,Discount,Salesperson,TotalPrice,PaymentMethod,Promotion,Returned,OrderID,CustomerName,ShippingCost,OrderDate,DeliveryDate,RegionManager,Revenue,DeliveryDays,ShippingBuckets
2/23/2023,East,Laptop,14,163.6,Store B,Wholesale,0,Eva,2290.4,Online,FREESHIP,0,REG100000,Cust 6583,43.34,2/23/2023,2/27/2023,Eric,2290.4,4,High
12/19/2024,South,Phone,1,544.01,Store A,Retail,0,Alice,544.01,Gift Card,SAVE10,0,REG100001,Cust 2144,5.3,12/19/2024,12/28/2024,Sophie,544.01,9,Low
05-10-2023,North,Desk,14,346.18,Store B,Wholesale,0.1,Alice,4361.868,Online,WINTER15,0,REG100002,Cust 5998,20.46,05-10-2023,5/19/2023,Ryan,4361.868,9,Medium
2/26/2025,Central,Chair,18,384.82,Store A,Wholesale,0.15,Frank,5887.746,Gift Card,FREESHIP,0,REG100003,Cust 7136,27.95,2/26/2025,03-02-2025,Cameron,5887.746,4,Medium
6/24/2023,East,Desk,18,237.76,Store C,Retail,0,Carlos,4279.68,Online,SAVE10,0,REG100004,Cust 6506,5.73,6/24/2023,6/27/2023,Eric,4279.68,3,Low
01-11-2023,South,Chair,7,17.5,Store C,Retail,0.1,Alice,110.25,Debit Card,WINTER15,0,REG100006,Cust 7887,5.02,01-11-2023,1/14/2023,Sophie,110.25,3,Low
10/16/2024,South,Chair,3,432.04,Store D,Wholesale,0.05,Bob,1231.314,Debit Card,FREESHIP,1,REG100008,Cust 2284,42.11,10/16/2024,10/18/2024,Sophie,0,2,High
03-05-2025,West,Desk,5,323.28,Store D,Retail,0.1,Frank,1454.76,Gift Card,SAVE10,0,REG100009,Cust 3732,41.1,03-05-2025,3/13/2025,Wendy,1454.76,8,High
7/21/2023,Central,Phone,1,120.53,Store B,Retail,0.05,Diana,114.5035,Cash,WINTER15,0,REG100012,Cust 2372,20.35,7/21/2023,7/31/2023,Cameron,114.5035,10,Medium
05-11-2025,West,Chair,17,162.96,Store A,Wholesale,0.05,Eva,2631.804,Gift Card,FREESHIP,0,REG100015,Cust 7037,8.11,05-11-2025,5/17/2025,Wendy,2631.804,6,Low
2/26/2023,West,Laptop,19,236.11,Store D,Wholesale,0,Bob,4486.09,Online,WINTER15,0,REG100016,Cust 4975,34.11,2/26/2023,03-04-2023,Wendy,4486.09,6,Upper Medium
5/28/2024,Central,Desk,11,573.14,Store D,Retail,0.05,Diana,5989.313,Cash,SAVE10,0,REG100017,Cust 8014,34.71,5/28/2024,06-01-2024,Cameron,5989.313,4,Upper Medium
